Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|P42224|STAT1_HUMAN	8	0.493713	0.702464	0.637129	-4.00975
JFCF_6	JFCF_6_T_1_C	sp|P42704|LPPRC_HUMAN	11	-0.267835	0.301403	0.512226	-2.87246
JFCF_6	JFCF_6_T_1_C	sp|P42765|THIM_HUMAN	2	0.00759398	0.00907862	0.745301	-4.99085
JFCF_6	JFCF_6_T_1_C	sp|P42892|ECE1_HUMAN	2	1.00622	0.528255	0.479592	-2.61246
JFCF_6	JFCF_6_T_1_C	sp|P43034|LIS1_HUMAN	6	0.452557	0.316511	0.398845	-2.04391
JFCF_6	JFCF_6_T_1_C	sp|P43243|MATR3_HUMAN	10	-0.574609	0.47763	0.116522	0.162755
JFCF_6	JFCF_6_T_1_C	sp|P43487|RANG_HUMAN	1	-0.549982	0.844666	0.683512	-4.46588
JFCF_6	JFCF_6_T_1_C	sp|P43686|PRS6B_HUMAN	2	-0.0814236	0.170894	0.737538	-4.95995
JFCF_6	JFCF_6_T_1_C	sp|P45880|VDAC2_HUMAN	8	1.02352	0.420295	8.72078e-07	11.4558
JFCF_6	JFCF_6_T_1_C	sp|P45974|UBP5_HUMAN	4	0.437642	0.60096	0.682265	-4.45897
JFCF_6	JFCF_6_T_1_C	sp|P46013|KI67_HUMAN	2	-3.06755	0.15223	3.15971e-05	8.19108
JFCF_6	JFCF_6_T_1_C	sp|P46060|RAGP1_HUMAN	8	-0.607668	0.409816	0.174231	-0.464118
JFCF_6	JFCF_6_T_1_C	sp|P46063|RECQ1_HUMAN	5	0.834612	0.406989	0.0252823	1.86767
JFCF_6	JFCF_6_T_1_C	sp|P46087|NOP2_HUMAN	5	-0.543454	0.540922	0.582899	-3.42429
JFCF_6	JFCF_6_T_1_C	sp|P46459|NSF_HUMAN	2	0.484919	0.191099	0.649151	-4.12527
JFCF_6	JFCF_6_T_1_C	sp|P46777|RL5_HUMAN	2	0.352273	0.526274	0.710437	-4.70248
JFCF_6	JFCF_6_T_1_C	sp|P46781|RS9_HUMAN	3	-0.0780634	0.49289	0.770965	-5.30237
JFCF_6	JFCF_6_T_1_C	sp|P46782|RS5_HUMAN	8	0.363697	0.211991	0.0537018	1.08902
JFCF_6	JFCF_6_T_1_C	sp|P46821|MAP1B_HUMAN	20	1.18914	0.516644	1.78361e-12	24.8454
